site_id,date,season,scene_id,platform,n_valid_pixels,lst_c_median,ndvi_median,albedo_median
control_2_C1,2023-05-09,transition,LC09_L2SP_202033_20230509_02_T1,landsat-9,312,35.62705391,0.29757820798250484,0.22717999
treatment,2023-05-01,transition,LC08_L2SP_202033_20230501_02_T1,landsat-8,8743,45.05224406000002,0.3292747393185977,0.13914600000000002
control_1_C5,2023-05-01,transition,LC08_L2SP_202033_20230501_02_T1,landsat-8,315,48.67876328,0.2909645423926592,0.20997310250000004
control_2_C1,2023-05-01,transition,LC08_L2SP_202033_20230501_02_T1,landsat-8,312,47.69437352,0.33677894655682294,0.1990168
treatment,2023-04-23,transition,LC09_L2SP_202033_20230423_02_T1,landsat-9,8743,36.640496840000026,0.371172735163781,0.13289569
control_1_C5,2023-04-23,transition,LC09_L2SP_202033_20230423_02_T1,landsat-9,315,37.884656120000045,0.338239854196594,0.19594821250000002
control_2_C1,2023-04-23,transition,LC09_L2SP_202033_20230423_02_T1,landsat-9,312,37.75306234999999,0.3803527831946535,0.18514966375
treatment,2023-04-15,transition,LC08_L2SP_202033_20230415_02_T1,landsat-8,8743,34.01545748000001,0.38155014839228873,0.13639292
control_1_C5,2023-04-15,transition,LC08_L2SP_202033_20230415_02_T1,landsat-8,315,37.81629572000003,0.37476425569165595,0.20008776000000003
control_2_C1,2023-04-15,transition,LC08_L2SP_202033_20230415_02_T1,landsat-8,312,36.55162832000002,0.4299895766619948,0.18962674625000003
treatment,2023-04-07,transition,LC09_L2SP_202033_20230407_02_T1,landsat-9,8743,36.575554460000035,0.3970188431611513,0.13434153000000001
control_1_C5,2023-04-07,transition,LC09_L2SP_202033_20230407_02_T1,landsat-9,315,37.983778700000016,0.4437831172726365,0.188570815
